conceptUri,preferredLabel,altLabels,skillType,reuseLevel,description
http://data.europa.eu/esco/skill/9126d3d3-dd5b-4639-a1bc-400d93ccb063,"history of dance style","",skill/competence,transversal,"The origins, history and development of the dance styles and forms used, including current manifestations, current practices and methods of delivery in a chosen dance style."
http://data.europa.eu/esco/skill/d56358e4-3bcc-4b5d-981d-ea15b2743e9e,"quality control systems","",skill/competence,transversal,"Understanding of and experience with product development quality systems or tools such as FMEA, DOE, PPAP and APQP."
http://data.europa.eu/esco/skill/57a0a83f-5ddc-4e44-96ea-2309b5ade9c8,"spirits development","",skill/competence,transversal,"Processes related to the manufacture of aged and unaged spirits. Under the category of unaged spirits fall vodka and gin. Under the category of aged products fall whisky, rum, and brandy."
http://data.europa.eu/esco/skill/5de0599a-8fca-4cdd-a72d-f5d21af8eeb3,"monitor educational developments","",skill/competence,transversal,"Monitor the changes in educational policies, methodologies and research by reviewing relevant literature and liaising with education officials and institutions."
http://data.europa.eu/esco/skill/5b671d86-f1fa-4468-947c-374dc6cdf6b8,"pregnancy","",skill/competence,transversal,"The process related to conception and development of the fetus in the mother`s womb, the symptoms of pregnancy, risks and complications, diseases and timing of childbirth."
http://data.europa.eu/esco/skill/fc518d4e-1968-4ba9-9750-8d386712a00f,"manage packaging development cycle from concept to launch","",skill/competence,transversal,"Manage the packaging development cycle from concept to launch in order to ensure compliance with financial, operative, and commercial variables."
http://data.europa.eu/esco/skill/d41993df-a3c2-4d90-81e9-77ce76a5ca17,"support the development of sport activities in education","",skill/competence,transversal,"Support sport and physical activity in an education context. Analyse the educational community in which the sport organisation will be working, establish effective working relationships with key stake"
http://data.europa.eu/esco/skill/384ed14c-bf1f-4a65-aef6-6e711f43c4ce,"advise on economic development","",skill/competence,transversal,"Advise organisations and institutions on the factors and steps they could take which would promote and ensure economic stability and growth."
http://data.europa.eu/esco/skill/995f7d9c-45c9-4622-b704-739982ff9070,"watershed development","",skill/competence,transversal,"The study of the relevant characteristics of a watershed aimed at the sustainable distribution of its resources and the process of creating and implementing plans, programs, and projects to sustain an"
http://data.europa.eu/esco/skill/644d9c5d-9e19-4a3b-b144-8d27f7ad292d,"portfolio management in textile manufacturing","",skill/competence,transversal,"The process of managing teams and projects in textile and clothing product development."
http://data.europa.eu/esco/skill/2d3552aa-08da-4aad-9942-675be826a212,"work with playwrights","",skill/competence,transversal,"Work with writers through workshops or script development schemes."
http://data.europa.eu/esco/skill/72a74f69-5cf1-43c5-99b9-62a444578919,"engineering processes","",skill/competence,transversal,"The systematic approach to the development and maintenance of engineering systems."
http://data.europa.eu/esco/skill/507e2b21-1285-47e9-bf09-0db794df1bf0,"develop environmental policy","",skill/competence,transversal,"Develop an organisational policy on sustainable development and compliance with environmental legislation in line with policy mechanisms used in the field of environmental protection."
http://data.europa.eu/esco/skill/34396520-b785-42dc-afe0-f74d7aa9f793,"pharmaceutical drug development","",skill/competence,transversal,"Drug manufacturing phases: pre-clinical phase (research and tests on animals), clinical phase (clinical trials on humans) and the sub-phases required to obtain as an end product a pharmaceutical drug."
